,user,time_unix,weight_dem,weight_rep
312,Bernie Sanders,1468243339,0.9991647,0.0008352952
313,Hillary Clinton,1467747792,0.957342,0.042657927
314,Hillary Clinton,1467822779,0.13365775,0.8663422
315,Hillary Clinton,1467822973,0.93829805,0.06170198
316,Bernie Sanders,1468078511,0.999848,0.00015202361
317,Hillary Clinton,1467748951,0.9923828,0.007617161
318,Hillary Clinton,1467746912,0.064624876,0.93537515
319,Hillary Clinton,1467825184,0.26870063,0.7312994
320,Bernie Sanders,1468078714,0.97386485,0.026135106
321,Bernie Sanders,1468172654,0.9999987,1.2560017e-06
322,Hillary Clinton,1467747421,0.06376005,0.93623996
323,Hillary Clinton,1467808296,0.385082,0.614918
324,Hillary Clinton,1467831971,0.99997807,2.1939633e-05
325,Hillary Clinton,1467747939,0.22211973,0.77788025
326,Bernie Sanders,1468099372,0.8975863,0.10241376
327,Hillary Clinton,1467748249,0.9988728,0.0011271095
328,Hillary Clinton,1467823330,0.99920017,0.0007998866
329,Hillary Clinton,1467816765,0.99299353,0.007006422
330,Hillary Clinton,1467823544,0.00028784663,0.99971217
331,Hillary Clinton,1467823612,0.0024178443,0.9975821
332,Hillary Clinton,1467757320,0.78133076,0.21866916
333,Hillary Clinton,1467748462,0.0479615,0.95203847
334,Hillary Clinton,1467848404,0.96432644,0.035673555
335,Bernie Sanders,1468079946,0.18606731,0.81393266
336,Bernie Sanders,1468173417,0.999987,1.2940884e-05
337,Bernie Sanders,1468078455,0.99980813,0.00019190043
338,Hillary Clinton,1467747882,0.8027878,0.19721225
339,Hillary Clinton,1467815107,0.88250864,0.11749137
340,Hillary Clinton,1467750301,0.988715,0.01128501
341,Bernie Sanders,1468272331,0.9853758,0.014624195
342,Hillary Clinton,1467746890,0.6166841,0.38331592
343,Hillary Clinton,1467748829,0.29344174,0.7065583
344,Hillary Clinton,1467775869,0.7232149,0.27678514
345,Hillary Clinton,1467906858,0.9999999,1.4205361e-07
346,Hillary Clinton,1467823854,0.12575798,0.874242
347,Bernie Sanders,1468110527,0.9988053,0.0011947482
348,Hillary Clinton,1467748889,0.99991834,8.166692e-05
349,Hillary Clinton,1467747592,0.95388556,0.0461144
